"Asociación","Actividad Subvencionada ","Importe"
"AMPA ANTONIO MACHADO","TALLER FIESTA DE CARNAVAL","94.56"
"AMPA ANTONIO MACHADO","TALLER DIA DEL PADRE","39.04"
"AMPA ANTONIO MACHADO","TALLER DIA DE LA MADRE","43.64"
"AMPA ANTONIO MACHADO","FIESTA FIN DE CURSO",921
"AMPA ANTONIO MACHADO","CONCURSO LOGOTIPO AMPA","56.57"
"AMPA ANTONIO MACHADO","ASOCIACION FAPA ALCOBENDAS",80
"AMPA ANTONIO MACHADO","ASOCIACION FAPA GINER DE LOS RIOS","86.79"
"AMPA ANTONIO MACHADO","FIESTA DE NAVIDAD",660
"AMPA ANTONIO MACHADO","HALLOWEEN","168.39"
"AMPA ANTONIO MACHADO","SAN ISIDRO",195
"AMPA BACHILLER ALONSO LOPEZ","MATEMATICAS MANIPULATIVAS",480
"AMPA BACHILLER ALONSO LOPEZ","PROYECTO DE INGLES",480
"AMPA BACHILLER ALONSO LOPEZ","EXCURSIONES PRIMARIA",928
"AMPA BACHILLER ALONSO LOPEZ","GRADUACIÓN INFANTIL",360
"AMPA BACHILLER ALONSO LOPEZ","GRADUACIÓN 6 PRIM",240
"AMPA BACHILLER ALONSO LOPEZ","REVISTA COLEGIO ENTRETIZAS",220
"AMPA BACHILLER ALONSO LOPEZ","FIESTA INTERCULTURAL",492
"AMPA CASTILLA","CONCURSO TARJETAS NAVIDEÑAS",124
"AMPA CASTILLA","TALLER COMO MEJORAR LA AUTOESTIMA DE NUESTROS HIJOS",160
"AMPA CASTILLA","FIESTA FIN DE CURSO",840
"AMPA CASTILLA","PROPUESTA DE ACTIV EXTRAESCOLARES, INSCRIPCIONES, INTERCAMBIO LIBROS",150
"AMPA CASTILLA","FEDERACION",64
"AMPA CASTILLA","FIESTA REYES MAGOS",460
"AMPA CASTILLA","CHOCOLATADA",336
"AMPA CASTILLA","SAN ISIDRO",163
"AMPA CASTILLA","HALLOWEEN",160
"AMPA CASTILLA","CARNAVAL EN LA AULAS","147.44"
"AMPA DAOIZ Y VELARDE","PLAN LECTOR",370
"AMPA DAOIZ Y VELARDE","CONCIERTO MUSICA DIVERTIDA","575.74"
"AMPA DAOIZ Y VELARDE","TALLER HABILIDADES SOCIALES O TECNICAS DE ESTUDIO",220
"AMPA DAOIZ Y VELARDE","FIESTA FIN DE CURSO",600
"AMPA DAOIZ Y VELARDE","GRADUACIONES INFANTIL Y SEXTO",160
"AMPA DAOIZ Y VELARDE","AGENDAS",340
"AMPA DAOIZ Y VELARDE","EXPOSICION FOTOGRAFICA",198
"AMPA DAOIZ Y VELARDE","NAVIDAD",689
"AMPA EMILIO CASADO","DIA DE LA MUSICA","295.67"
"AMPA EMILIO CASADO","SALIDA CULTURAL AL TEATRO",196
"AMPA EMILIO CASADO","FESTIVAL FIN DE CURSO",247
"AMPA EMILIO CASADO","FIESTA FIN DE CURSO",1000
"AMPA EMILIO CASADO","ASOCIACION FAPA GINER DE LOS RIOS",175
"AMPA EMILIO CASADO","ASOCIACION FAPA ALCOBENDAS",77
"AMPA EMILIO CASADO","FIESTA NAVIDAD",850
"AMPA EMILIO CASADO","INTERCENTROS ATLETISMO",175
"AMPA FEDERICO GARCIA LORCA","DIA DEL LIBRO",1400
"AMPA FEDERICO GARCIA LORCA","TALLERES DE HALLOWEEN Y ADORNOS NAVIDAD",85
"AMPA FEDERICO GARCIA LORCA","FIESTA FIN DE CURSO","434.06"
"AMPA GABRIEL Y GALAN","EXCURSIONES","1151.51"
"AMPA GABRIEL Y GALAN","HUERTO ESCOLAR",80
"AMPA GABRIEL Y GALAN","CUENTACUENTOS",200
"AMPA GABRIEL Y GALAN","TALLER NAVIDEÑO",120
"AMPA GABRIEL Y GALAN","FIESTA FIN DE CURSO",480
"AMPA GABRIEL Y GALAN","PERIODICO",160
"AMPA GABRIEL Y GALAN","CARNAVAL",350
"AMPA GABRIEL Y GALAN","SAN ISIDRO",200
"AMPA LUIS BUÑUEL","CONCURSO FELICITACIONES DE NAVIDAD",90
"AMPA LUIS BUÑUEL","MERCADILLO NAVIDEÑO",90
"AMPA LUIS BUÑUEL","GRADUACION",440
"AMPA LUIS BUÑUEL","FIESTA FIN DE CURSO",55
"AMPA LUIS BUÑUEL","PARTICIPACION FAPA ALCOBENDAS Y FAPA GINER DE LOS RIOS",227
"AMPA LUIS BUÑUEL","FIESTA NAVIDAD",625
"AMPA LUIS BUÑUEL","SAN ISIDRO",200
"AMPA LUIS BUÑUEL","FIESTA DE HALLOWEEN",80
"AMPA LUIS BUÑUEL","CASTAÑADA",65
"AMPA LUIS BUÑUEL","CARNAVAL EN LAS AULAS: MERCADILLO MEDIEVAL",209
"AMPA MIGUEL HERNANDEZ","CERTAMEN LITERARIO Y DE DIBUJO",300
"AMPA MIGUEL HERNANDEZ","SEMANA CULTURAL",153
"AMPA MIGUEL HERNANDEZ","EXCURSION A MADRID",504
"AMPA MIGUEL HERNANDEZ","EXCURSION A SIERRA DE GUADARRAMA",293
"AMPA MIGUEL HERNANDEZ","CONCURSO DE TARJETAS NAVIDEÑAS",150
"AMPA MIGUEL HERNANDEZ","PARTICIPACION FESTIVAL FAPA",12
"AMPA MIGUEL HERNANDEZ","FESTIVAL FIN CURSO",287
"AMPA MIGUEL HERNANDEZ","ENTREGA DE ORLAS 3º INFANTIL",100
"AMPA MIGUEL HERNANDEZ","PARTICIPACION EN FEDERACIONES",80
"AMPA MIGUEL HERNANDEZ","VISITA REYES MAGOS",530
"AMPA MIGUEL HERNANDEZ","FIESTA NAVIDAD",475
"AMPA MIGUEL HERNANDEZ","TORNEOS DEPORTIVOS","39.35"
"AMPA MIRAFLORES","SALIDA CULTURAL SAFARI",1500
"AMPA MIRAFLORES","FIESTA FIN DE CURSO",560
"AMPA MIRAFLORES","CUENTOS EN MIRAFLORES",400
"AMPA MIRAFLORES","FIESTA DE NAVIDAD","327.21"
"AMPA PARQUE CATALUÑA","CONCURSO DE TARJETAS NAVIDEÑAS",290
"AMPA PARQUE CATALUÑA","FUTBOL",95
